! virtuoso AC export (template - replace with real data)
freq_hz,mag_db,phase_deg
1e+06,0.000,-0.82
1.06396e+06,0.000,-0.87
1.13201e+06,0.000,-0.93
1.20441e+06,0.000,-0.98
1.28145e+06,0.000,-1.05
1.36341e+06,0.000,-1.12
1.45062e+06,0.000,-1.19
1.5434e+06,0.000,-1.26
1.64211e+06,0.000,-1.34
1.74714e+06,0.000,-1.43
1.85889e+06,0.000,-1.52
1.97779e+06,0.000,-1.62
2.10428e+06,0.000,-1.72
2.23888e+06,0.000,-1.83
2.38207e+06,0.000,-1.95
2.53443e+06,0.000,-2.07
2.69653e+06,0.000,-2.21
2.86901e+06,0.000,-2.35
3.05251e+06,0.000,-2.50
3.24775e+06,0.000,-2.66
3.45547e+06,0.000,-2.83
3.67649e+06,0.000,-3.01
3.91163e+06,0.000,-3.20
4.16182e+06,0.000,-3.40
4.42801e+06,0.000,-3.62
4.71123e+06,0.000,-3.85
5.01256e+06,0.000,-4.10
5.33317e+06,0.000,-4.36
5.67428e+06,0.000,-4.64
6.03721e+06,0.000,-4.94
6.42335e+06,0.000,-5.25
6.83418e+06,0.000,-5.59
7.2713e+06,0.000,-5.95
7.73637e+06,0.000,-6.33
8.23119e+06,0.000,-6.73
8.75766e+06,0.000,-7.16
9.3178e+06,0.000,-7.62
9.91377e+06,0.000,-8.11
1.05479e+07,0.000,-8.63
1.12225e+07,0.000,-9.18
1.19403e+07,0.000,-9.77
1.2704e+07,0.000,-10.39
1.35166e+07,0.000,-11.06
1.43811e+07,0.000,-11.77
1.53009e+07,0.000,-12.52
1.62795e+07,-0.000,-13.32
1.73208e+07,-0.000,-14.18
1.84286e+07,-0.000,-15.08
1.96073e+07,-0.000,-16.05
2.08614e+07,-0.000,-17.08
2.21957e+07,-0.000,-18.17
2.36153e+07,-0.000,-19.34
2.51258e+07,-0.000,-20.58
2.67328e+07,-0.000,-21.90
2.84427e+07,-0.000,-23.31
3.02619e+07,-0.000,-24.80
3.21974e+07,-0.000,-26.40
3.42568e+07,-0.000,-28.10
3.64479e+07,-0.000,-29.91
3.87791e+07,-0.000,-31.83
4.12594e+07,-0.000,-33.89
4.38983e+07,-0.000,-36.07
4.67061e+07,-0.000,-38.41
4.96934e+07,-0.000,-40.89
5.28718e+07,-0.000,-43.55
5.62535e+07,-0.000,-46.38
5.98515e+07,-0.000,-49.40
6.36796e+07,-0.000,-52.62
6.77526e+07,-0.000,-56.07
7.2086e+07,-0.000,-59.75
7.66967e+07,-0.000,-63.69
8.16022e+07,-0.000,-67.91
8.68215e+07,-0.000,-72.44
9.23746e+07,-0.001,-77.29
9.82829e+07,-0.001,-82.51
1.04569e+08,-0.002,-88.13
1.11257e+08,-0.004,-94.20
1.18373e+08,-0.007,-100.76
1.25945e+08,-0.012,-107.89
1.34e+08,-0.023,-115.66
1.42571e+08,-0.042,-124.18
1.5169e+08,-0.077,-133.57
1.61392e+08,-0.143,-143.99
1.71714e+08,-0.262,-155.63
1.82697e+08,-0.475,-168.66
1.94382e+08,-0.844,176.77
2.06815e+08,-1.458,160.70
2.20043e+08,-2.410,143.50
2.34117e+08,-3.763,125.87
2.49091e+08,-5.518,108.70
2.65023e+08,-7.607,92.69
2.81974e+08,-9.937,78.17
3.00009e+08,-12.421,65.19
3.19198e+08,-14.997,53.60
3.39614e+08,-17.625,43.22
3.61336e+08,-20.283,33.86
3.84447e+08,-22.957,25.37
4.09036e+08,-25.639,17.63
4.35198e+08,-28.326,10.52
4.63034e+08,-31.016,3.97
4.92649e+08,-33.707,-2.07
5.24159e+08,-36.398,-7.68
5.57684e+08,-39.090,-12.89
5.93354e+08,-41.783,-17.73
6.31305e+08,-44.475,-22.24
6.71684e+08,-47.168,-26.45
7.14645e+08,-49.860,-30.38
7.60353e+08,-52.553,-34.06
8.08986e+08,-55.245,-37.50
8.60729e+08,-57.938,-40.71
9.15781e+08,-60.630,-43.73
9.74354e+08,-63.323,-46.55
1.03667e+09,-66.015,-49.20
1.10298e+09,-68.708,-51.68
1.17353e+09,-71.400,-54.01
1.24859e+09,-74.093,-56.19
1.32845e+09,-76.785,-58.24
1.41341e+09,-79.478,-60.16
1.50382e+09,-82.170,-61.96
1.6e+09,-84.863,-63.66
