# spectre HB sweep export (template - replace with real data)
pin_dbm,pout_dbm,phase_deg
-30.000,-3.986,0.000
-29.026,-3.014,0.000
-28.051,-2.041,0.000
-27.077,-1.070,0.000
-26.103,-0.099,0.001
-25.128,0.871,0.001
-24.154,1.840,0.001
-23.179,2.808,0.002
-22.205,3.774,0.003
-21.231,4.738,0.005
-20.256,5.699,0.007
-19.282,6.658,0.010
-18.308,7.612,0.016
-17.333,8.561,0.023
-16.359,9.504,0.034
-15.385,10.439,0.050
-14.410,11.364,0.071
-13.436,12.278,0.101
-12.462,13.177,0.141
-11.487,14.057,0.192
-10.513,14.916,0.259
-9.538,15.748,0.341
-8.564,16.547,0.442
-7.590,17.306,0.561
-6.615,18.019,0.698
-5.641,18.677,0.851
-4.667,19.271,1.019
-3.692,19.792,1.196
-2.718,20.230,1.379
-1.744,20.577,1.562
-0.769,20.825,1.740
0.205,20.968,1.910
1.179,21.003,2.067
2.154,20.929,2.210
3.128,20.748,2.337
4.103,20.463,2.448
5.077,20.083,2.544
6.051,19.614,2.625
7.026,19.066,2.694
8.000,18.448,2.751
